home,away,area,scoreHome,scoreAway
Indonesia,Bahréin,asia,0,2
Tailandia,Omán,asia,3,0
Líbano,Emiratos Árabes Unidos,asia,3,1
RDP de Corea,Tayikistán,asia,1,0
Australia,Tailandia,asia,2,1
Bahréin,Qatar,asia,0,0
Irán,Indonesia,asia,3,0
RP China,Singapur,asia,2,1
República de Corea,Líbano,asia,6,0
Emiratos Árabes Unidos,Kuwait,asia,2,3
Japón,RDP de Corea,asia,1,0
Omán,Arabia Saudí,asia,0,0
Irak,Jordania,asia,0,2
Tayikistán,Uzbekistán,asia,0,1
Maldivas,Irán,asia,0,1
Malasia,Singapur,asia,1,1
Hong Kong,Arabia Saudí,asia,0,5
Yemen,Irak,asia,0,0
Vietnam,Qatar,asia,2,1
Filipinas,Kuwait,asia,1,2
Indonesia,Turkmenistán,asia,4,3
India,Emiratos Árabes Unidos,asia,2,2
Kirguistán,Uzbekistán,asia,0,3
Laos,RP China,asia,1,6
Bangladesh,Líbano,asia,2,0
Palestina,Tailandia,asia,2,2
Nepal,Jordania,asia,1,1
Arabia Saudí,Hong Kong,asia,3,0
Emiratos Árabes Unidos,India,asia,3,0
Singapur,Malasia,asia,5,3
Kuwait,Filipinas,asia,3,0
Irán,Maldivas,asia,4,0
Qatar,Vietnam,asia,3,0
Uzbekistán,Kirguistán,asia,4,0
Jordania,Nepal,asia,9,0
Irak,Yemen,asia,2,0
Turkmenistán,Indonesia,asia,1,1
Tailandia,Palestina,asia,1,0
Líbano,Bangladesh,asia,4,0
RP China,Laos,asia,7,2
Pakistán,Bangladesh,asia,0,0
Macao,Vietnam,asia,1,7
Chinese Taipei,Malasia,asia,3,2
Laos,Camboya,asia,6,2
Palestina,Afganistán,asia,1,1
Myanmar,Mongolia,asia,2,0
Filipinas,Sri Lanka,asia,4,0
Timor Oriental,Nepal,asia,0,5
Malasia,Chinese Taipei,asia,2,1
Vietnam,Macao,asia,6,0
Mongolia,Myanmar,asia,1,0
Bangladesh,Pakistán,asia,3,0
Afganistán,Palestina,asia,0,2
Sri Lanka,Filipinas,asia,1,1
Nepal,Timor Oriental,asia,2,1
Camboya,Laos,asia,4,2
Nigeria,Argentina,europe,2,3
Bosnia y Herzegovina,Irán,europe,3,1
Honduras,Suiza,europe,0,3
Ecuador,Francia,europe,0,0
EEUU,Alemania,europe,0,1
Portugal,Ghana,europe,2,1
República de Corea,Bélgica,europe,0,1
Argelia,Rusia,europe,1,1
EEUU,Alemania,europe,0,1
Francia,Ucrania,europe,3,0
Rumanía,Grecia,europe,1,1
Suecia,Portugal,europe,2,3
Croacia,Islandia,europe,2,0
Ucrania,Francia,europe,2,0
Grecia,Rumanía,europe,3,1
Portugal,Suecia,europe,1,0
Islandia,Croacia,europe,0,0
Azerbaiyán,Rusia,europe,1,1
Bulgaria,República Checa,europe,0,1
Letonia,Eslovaquia,europe,2,2
Montenegro,Moldavia,europe,2,5
Bélgica,Gales,europe,1,1
Rumanía,Estonia,europe,2,0
Turquía,Países Bajos,europe,0,2
San Marino,Ucrania,europe,0,8
España,Georgia,europe,2,0
Francia,Finlandia,europe,3,0
Suecia,Alemania,europe,3,5
Italia,Armenia,europe,2,2
Serbia,ARY de Macedonia,europe,5,1
Dinamarca,Malta,europe,6,0
Escocia,Croacia,europe,2,0
Lituania,Bosnia y Herzegovina,europe,0,1
Grecia,Liechtenstein,europe,2,0
Suiza,Eslovenia,europe,1,0
Noruega,Islandia,europe,1,1
Israel,Irlanda del Norte,europe,1,1
Hungría,Andorra,europe,2,0
Inglaterra,Polonia,europe,2,0
República de Irlanda,Kazajstán,europe,3,1
Islas Feroe,Austria,europe,0,3
Chipre,Albania,europe,0,0
Portugal,Luxemburgo,europe,3,0
España,Bielorrusia,europe,2,1
Grecia,Eslovaquia,europe,1,0
Estonia,Turquía,europe,0,2
Ucrania,Polonia,europe,1,0
Azerbaiyán,Irlanda del Norte,europe,2,0
Portugal,Israel,europe,1,1
Eslovenia,Noruega,europe,3,0
Alemania,República de Irlanda,europe,3,0
Suecia,Austria,europe,2,1
Países Bajos,Hungría,europe,8,1
Andorra,Rumanía,europe,0,4
Luxemburgo,Rusia,europe,0,4
Albania,Suiza,europe,1,2
Dinamarca,Italia,europe,2,2
Inglaterra,Montenegro,europe,4,1
Bosnia y Herzegovina,Liechtenstein,europe,4,1
Gales,ARY de Macedonia,europe,1,0
Malta,República Checa,europe,1,4
